"Название";"Оригинальное название";"Год";"Оценка";"Время выставления оценки"
"Лич";"";"2011";"6";"2015-04-22 19:22:56"
"Лич: Восхождение";"";"2012";"5";"2015-04-22 19:22:45"
"Возвращение со звезд";"Powrot z gwiazd";"1961";"8";"2015-04-16 09:13:08"
"Убей в себе инфантила. Как повзрослеть за три месяца";"";"2012";"4";"2015-04-14 14:18:07"
"Гражданская кампания";"";"1999";"6";"2015-04-09 08:52:32"
"Охота на хранителей";"";"2010";"4";"2015-04-07 07:30:56"
"Ад и Рай";"";"2011";"5";"2015-04-06 07:55:50"
"Стать Лютовым";"";"2001";"5";"2015-04-05 08:27:29"
"Эти бессмертные";"";"2011";"9";"2015-04-04 10:04:52"
"Тени безумия";"";"2013";"6";"2015-03-29 10:01:53"
"Кружева бессмертия";"";"2011";"6";"2015-03-29 10:00:52"
"Невероятный Халк: Планета Халка. Книга 1";"Planet Hulk";"2015";"10";"2015-03-28 17:20:08"
"Роршах до Часовых";"Before Watchmen: Rorschach; Хранители: Пролог. Роршах";"2012";"8";"2015-03-25 15:23:25"
"Приключения Алисы в стране чудес";"";"1865";"6";"2015-03-25 14:58:42"
"Грань будущего: Всё, что тебе нужно — это убивать";"All You Need Is Kill; Edge of Tomorrow";"2004";"7";"2015-03-09 20:57:25"
"Цитадель Бога Смерти";"The Death God's Citadel";"1980";"8";"2015-03-08 20:19:03"
"Последний рыцарь";"Solar Kill";"1987";"8";"2015-03-08 20:06:52"
"Шпага Рианона";"The Sword of Rhiannon; Sea-Kings of Mars, Меч Рианнона";"1949";"7";"2015-03-08 19:39:09"
"МИФОтолкования";"Myth Conceptions";"1980";"7";"2015-02-23 17:37:21"
"МИФОнаименования и извергения";"Myth-Nomers and Im-Pervections";"1987";"8";"2015-02-23 17:37:07"
"Корпорация М.И.Ф. в действии";"M.Y.T.H. Inc. in Action";"1990";"7";"2015-02-23 17:36:10"
"Корпорация МИФ — связующее звено";"MYTH Inc. Link";"1986";"7";"2015-02-23 17:35:36"
"Маленький МИФОзаклад";"Little Myth Marker";"1985";"7";"2015-02-23 17:34:58"
"МИФические личности";"Myth-ing Persons";"1984";"7";"2015-02-23 17:34:31"
"Удача или миф";"Hit or Myth; Иначе это миф";"1983";"7";"2015-02-23 17:33:50"
"МИФфия невыполнима";"Myth-ion Improbable";"2001";"8";"2015-02-23 17:33:33"
"МИФОуказания";"Myth Directions";"1982";"7";"2015-02-23 17:33:10"
"Еще один великолепный МИФ";"Another Fine Myth";"1978";"8";"2015-02-23 17:32:24"
"Сладостный МИФ, или МИФтерия жизни";"Sweet Myth-tery of Life";"1993";"7";"2015-02-23 17:27:08"
