"Название";"Оригинальное название";"Год";"Оценка";"Время выставления оценки"
"How to Survive";"";"2013";"8";"2015-10-24 02:40:17"
"Deadlight";"";"2012";"8";"2015-10-24 02:32:55"
"Doodle Jump";"";"2009";"7";"2015-10-17 00:11:11"
"BattleBlock Theater";"";"2013";"6";"2015-10-11 04:50:11"
"Fearless Fantasy";"";"2014";"7";"2015-09-05 09:13:14"
"Goat Simulator";"";"2014";"7";"2015-09-05 08:42:24"
"Two Worlds";"";"2007";"5";"2015-09-05 07:38:10"
"Icewind Dale";"";"2000";"8";"2015-09-04 10:09:56"
"Planet Explorers";"";"2014";"6";"2015-09-04 10:08:17"
"Showtime!";"";"2013";"5";"2015-09-04 10:02:08"
"Shattered Planet";"";"2014";"6";"2015-09-04 08:33:10"
"Endless Legend";"";"2014";"7";"2015-09-01 09:59:15"
"Darkest Dungeon";"";"2015";"6";"2015-08-31 03:22:58"
"Человек-Паук (2000)";"Spider-Man";"2000";"8";"2015-08-29 01:40:32"
"Pillars of Eternity";"Столпы вечности; Project Eternity";"2015";"8";"2015-08-28 08:41:04"
"KKnD 2: Krossfire";"";"1998";"7";"2015-08-28 03:13:24"
"Средиземье: Тени Мордора";"Middle-earth: Shadow of Mordor";"2014";"9";"2015-08-19 13:08:42"
"Zeno Clash";"";"2009";"6";"2015-08-12 06:06:47"
"Reaper: Tale of a Pale Swordsman";"";"2013";"7";"2015-08-11 03:57:46"
"Draw a Stickman: EPIC";"";"2013";"6";"2015-08-11 03:48:48"
"Castlevania: Bloodlines";"Vampire Killer; Castlevania: New Generation";"1994";"8";"2015-08-08 04:55:04"
"Remember Me";"";"2013";"7";"2015-08-02 08:38:53"
"Evoland";"";"2013";"7";"2015-07-29 11:55:11"
"Soul Gambler";"";"2013";"8";"2015-07-28 13:58:07"
"Да здравствует королева";"Long Live The Queen";"2013";"9";"2015-07-25 13:36:47"
"Game Tycoon";"";"2005";"1";"2015-07-25 10:48:13"
"Clicker Heroes";"";"2015";"6";"2015-07-25 05:35:32"
"Влад Колосажатель";"Vlad The Impaler";"2014";"9";"2015-07-22 14:42:09"
"Toribash";"";"2008";"7";"2015-07-22 06:48:38"
"Fighting Force";"";"1997";"7";"2015-07-21 08:14:30"
"Super Mario Bros.";"";"1985";"7";"2015-07-19 03:37:51"
"True Crime: Streets of L.A.";"";"2003";"4";"2015-07-19 03:19:26"
"Mortal Kombat Mythologies: Sub-Zero";"";"1997";"7";"2015-07-11 05:52:21"
"Mortal Kombat 4";"";"1998";"7";"2015-07-11 05:34:28"
"Mortal Kombat 3";"";"1995";"8";"2015-07-11 05:32:26"
"Mortal Kombat 2";"";"1993";"8";"2015-07-11 05:28:56"
"Mortal Kombat 1";"";"1992";"8";"2015-07-11 05:26:55"
"BloodRayne 2";"";"2004";"6";"2015-07-11 04:58:35"
"BloodRayne";"";"2003";"8";"2015-07-11 04:54:55"
"Mortal Kombat X (mobile)";"";"2015";"8";"2015-07-06 05:41:40"
"Mortal Kombat X";"";"2015";"8";"2015-07-06 05:34:10"
"Ведьмак 3: Дикая Охота";"The Witcher III: Wild Hunt";"2015";"10";"2015-07-04 07:02:34"
"Earthworm Jim 2";"";"1996";"9";"2015-06-13 05:45:20"
"Earthworm Jim";"";"1994";"8";"2015-06-13 05:41:43"
"Onimusha 3: Demon Siege";"";"2004";"6";"2015-06-12 05:35:07"
"Тургор: Голос цвета";"Tension; The Void";"2008";"7";"2015-05-26 10:56:39"
"System Shock";"";"1994";"8";"2015-05-26 10:56:36"
"Dark Sector";"";"2008";"6";"2015-05-26 10:55:39"
"Саботаж: Кулак Империи";"Sabotain: Break the Rules";"2004";"3";"2015-05-26 10:28:59"
"No One Lives Forever 2: A Spy in H.A.R.M.’s Way";"";"2002";"8";"2015-05-26 09:57:38"
"Vampire: The Masquerade — Redemption";"";"2000";"8";"2015-05-26 09:08:58"
"Фрагория";"";"2007";"5";"2015-05-26 09:02:12"
"Dota 2";"";"2013";"5";"2015-05-26 08:54:27"
"Vampire: The Masquerade — Bloodlines";"";"2004";"10";"2015-05-24 09:10:53"
"Опустошение";"Devastation";"2003";"4";"2015-05-24 09:10:22"
"Vector";"";"2013";"6";"2015-05-24 09:09:21"
"Forgotten Realms: Demon Stone";"";"2007";"6";"2015-05-24 09:07:51"
"Dino Crisis: Нашествие тварей";"";"2005";"7";"2015-05-24 09:07:22"
"Матрица: Путь Нео";"The Matrix: Path of Neo";"2007";"6";"2015-05-24 09:04:28"
"Daemonica: Зов Смерти";"";"2005";"6";"2015-05-24 09:04:21"
"Alan Wake";"";"2010";"7";"2015-05-24 09:03:35"
"Жанна д’Арк";"Wars & Warriors: Joan of Arc";"2004";"8";"2015-05-24 09:00:40"
"Heavy Metal: F.A.K.K.2";"";"2000";"6";"2015-05-24 08:56:05"
"Тамплиеры: Крестовый поход";"Knights of the Temple: Infernal Crusade";"2004";"6";"2015-05-23 11:09:47"
"Street Fighter X Tekken";"";"2012";"8";"2015-05-23 10:50:49"
"Паркан 2";"Parkan II";"2005";"7";"2015-05-23 10:07:30"
"Star Wars: The Force Unleashed";"";"2008";"7";"2015-05-10 13:07:43"
"Star Wars: Knights of the Old Republic";"";"2003";"7";"2015-05-10 12:44:16"
"Принц Персии (1989)";"Prince of Persia";"1989";"7";"2015-05-10 10:22:25"
"Wasteland 2";"";"2013";"9";"2015-05-09 21:35:18"
"Алиса: Безумие возвращается";"Alice: Madness Returns";"2011";"6";"2015-05-04 11:23:09"
"Front Mission Evolved";"";"2010";"8";"2015-05-04 11:22:37"
"Mirror’s Edge (2008)";"";"2008";"7";"2015-05-04 11:22:14"
"Сайлент Хилл 2";"Silent Hill 2";"2002";"6";"2015-05-04 11:21:55"
"Магия крови";"Dawn of Magic";"2009";"7";"2015-05-04 11:21:21"
"Расхитительница гробниц (2013)";"Tomb Raider";"2013";"6";"2015-05-04 11:10:39"
"Starbound";"";"2013";"10";"2015-05-04 11:09:59"
"Star Wars Jedi Knight II: Jedi Outcast";"";"2002";"8";"2015-05-04 11:07:43"
"Fallout";"";"1997";"5";"2015-05-04 10:16:01"
"Homeworld 2";"";"2003";"6";"2015-05-03 12:53:07"
"Half-Life";"";"1998";"7";"2015-05-03 12:20:34"
"Nightmare Creatures";"";"2007";"8";"2015-05-03 12:00:11"
"Готика 3";"Gothic 3";"2006";"8";"2015-05-03 11:17:20"
"Золотая секира 3";"Golden Axe III";"1993";"8";"2015-05-03 09:57:39"
"Обитель зла 3: Немезиc";"Resident Evil 3: Nemesis; Bio Hazard 3: Last Escape";"2005";"8";"2015-05-03 08:48:26"
